Source ASIN,Source Image ID,Target ASIN,Target Image ID,Non-Target ASIN,Non-Target Image ID,Feedback 1,Feedback 2,Feedback 3
B08C5NZZQP,81Nj7w5MrAL,B08C68WNX1,71xJ3YPVgXL,B079P8D6VP,41AA-j1+qJL,It is baby pink lined with dark pink.,It has a pink squiggle line tag on the right.,It is extra puffy
B00D8SSAGC,41iHiHSenRL,B076TDVCKR,511aNeh+2RL,B00AOBT6LE,71PIao7AY-L,With vertical stripes,Made by Calvin Klein,Black and silver
B07RWBB9N6,81yFniZitpL,B07RWBCLYZ,81UsfFM0DmL,B07N8WL5M1,81JkTdouTGL,with a black cap,with a flat brim,with a patch on the brim
B07S5T7MZD,418+synDpnL,B07MFRF8Q7,41jYoxiY-lL,B07QD2RNG5,41ZhGHMk9VL,has fuller middle panel.,"the colors are beige, red, blue, heathered brown and black.","red, blue and black have matching waistbands."
B073XVTPBV,91DWr5e+Q-L,B07WDL43WW,71hL1ctFBbL,B0059AGR8K,41Y7rBeBS2L,in a black color,with a metal strap,with a logo on the front
B07B38WMK9,81Rbv7oSRWL,B07TKDX2ZC,81mnA-IPwlL,B01IRVE57W,91J8EakbZQL,in a navy blue and grey plaid,with white buttons,with a pocket
B081WHDZ8X,41jymfdMrwL,B081KL8MLF,81WIAwBQGiL,B081KKNQS9,81dUF79dGdL,"briefs are dark blueish gray, royal blue and light blueish gray.",briefs have royal blue waistbands divided by a horizontal white line.,briefs have legs.
B073VK5CF6,512qLjmwSRL,B07JW4XVJP,51Ge8WEPhlL,B07VQQGS9K,51ViZDDJ7UL,graphic has a fully lit yellow menorah.,one sleeve is longer than the other sleeve.,top hem is shorter than back hem.
B07PD2LBDY,41xVRbvcP8L,B07S81LBY7,41B3wN6Gx1L,B07H819LJZ,61zR14R-NUL,with a three pack panty,"with a rust, oatmeal and white panty",with a little less coverage
B07FMPRF4Q,51tKNQzg+UL,B07SBCBP6V,41d9Yn+9rgL,B079BBX5SB,41rU5L9WTmL,with a grey top and bottom set,with a front zipper hoodie,with a thick cotton material on the pant
B07TTNCQGN,41zXL7-EmBL,B077NYSGV4,A1+PoLVV77L,B079MMVZM5,A1evfSm-utL,sleeves are longer than the sweater hem.,has a permanent V-neckline.,has two black stripes above sleeve and sweater edges.
B00M4L12P0,81BoUN5H8BL,B075W74GGW,51N0W-WTv5L,B01952UV48,511ziwVhz0L,in raibow colors,with xoxo sports apparel logo,with a gray sweatpants match
B00ZW9E3CK,61GvTarBnTL,B01HPWAZP0,51OEmTl2GGL,B01BPR286U,71gvVL6hjqL,with a fold up brim,with a larger knit beanie,with a black and grey hat
B075LPQWM2,81r3xmxn36L,B075H397H1,81Y0-sxSpdL,B07SMM2LNX,81sPPtermhL,with a tan pant,with a straight leg,with extra belt loops
B075LBVP6C,51rscc35qtL,B07HPYZH33,51BObk1PmVL,B01N5CJ840,516aEXeJW5L,shorts are dark gray.,hemlines are angled downward toward the middle.,has a red and white label over a pocket panel.
B07HXWHKGB,51ZjCF2-zVL,B06XBM9N9F,91gJ+EvV2+L,B010MVQ1LS,71In6o7VSJL,with a light straw colored hat,with a blue band,with a fedora hat
B00S5TLNUO,4199i5HPJVL,B078YHJMMY,31PNQxXXWqL,B078WDQBMH,31t1htt+NoL,with a navy cap,with a scooby do patch on the front,with a curved bill
B06XTQWP77,41G756xmDkL,B07ZJZNWSL,31vXZjl-3oL,B06XPNRT27,313DefxMh1L,With three vertical notches,In bright white,A larger bra size
B01N5TIV7V,81zvLDlrmfL,B01HJKRHNQ,91pcvqtM7xL,B01HJKP5LW,91buhxVoe3L,A flat bill,Made by RVCA,All black besides logo patch
B07WHT7D3W,71oU2pdn5CL,B07PHPWKZ8,918WH1C-5WL,B07CHXW3J4,91AAKSxiH4L,crown is gray.,closure strap is black.,visor is black.
B07H6CLNHF,71L+qDqvgSL,B076D21KQ5,71w5XCe9PPL,B01C7TQKZK,51dVk4LHnAL,with dark greens,with a tractor on the front,from john deer apparel
B076QJHD7N,41CPN19AI3L,B0734QKN6X,417iUPYW6UL,B0734Q483M,51UbFofV+dL,in light tan,with buckle adjuster,with Adidas logo
